naselje;grad_opcina;zupanija;stanovnistvo
Mokrice Miholečke;Sveti Petar Orehovec;Koprivničko-križevačka županija;139
Mokro Polje;Ervenik;Šibensko-kninska županija;163
Molat;Zadar;Zadarska županija;85
Molunat;Konavle;Dubrovačko-neretvanska županija;234
Molve;Molve;Koprivničko-križevačka županija;1195
Molve Grede;Molve;Koprivničko-križevačka županija;199
Molvice;Kalinovac;Koprivničko-križevačka županija;34
Molvice;Samobor;Zagrebačka županija;659
Momići;Kula Norinska;Dubrovačko-neretvanska županija;163
Momjan – Momiano;Buje – Buie;Istarska županija;239
Momčilovića Kosa;Glina;Sisačko-moslavačka županija;15
Monterol – Monterol;Umag – Umago;Istarska županija;38
Montižana – Montisana;Poreč – Parenzo;Istarska županija;54
Montovani;Pićan;Istarska županija;123
Moravice;Vrbovsko;Primorsko-goranska županija;509
Moravička Sela;Brod Moravice;Primorsko-goranska županija;37
Moravče;;Grad Zagreb;602
Morpolača;Stankovci;Zadarska županija;50
Moseć;Ružić;Šibensko-kninska županija;68
Moslavačka Slatina;Popovača;Sisačko-moslavačka županija;68
Most;Buzet;Istarska županija;71
Most-Raša;Raša;Istarska županija;63
Mostari;Dubrava;Zagrebačka županija;170
Motovun;Motovun – Montona;Istarska županija;397
Movrač;Kraljevec na Sutli;Krapinsko-zagorska županija;122
Močile;Vrbovsko;Primorsko-goranska županija;75
Močići;Konavle;Dubrovačko-neretvanska županija;426
Mošanci;Žakanje;Karlovačka županija;24
Moštanica;Petrinja;Sisačko-moslavačka županija;67
Mošćenica;Petrinja;Sisačko-moslavačka županija;2096
Mošćenice;Mošćenička Draga;Primorsko-goranska županija;279
Mošćenička Draga;Mošćenička Draga;Primorsko-goranska županija;452
Možđenec;Novi Marof;Varaždinska županija;584
Mracelj;Vojnić;Karlovačka županija;83
Mraclin;Velika Gorica;Zagrebačka županija;1026
Mratovo;Promina;Šibensko-kninska županija;47
Mravinca;Dubrovačko primorje;Dubrovačko-neretvanska županija;29
Mravince;Solin;Splitsko-dalmatinska županija;1717
Mravinjac;Dubrovnik;Dubrovačko-neretvanska županija;67
Mravnica;Šibenik;Šibensko-kninska županija;29
Mračaj;Majur;Sisačko-moslavačka županija;21
Mračaj Krstinjski;Vojnić;Karlovačka županija;2
Mračin;Netretić;Karlovačka županija;222
Mrežnica;Barilović;Karlovačka županija;4
Mrežničke Poljice;Duga Resa;Karlovačka županija;110
Mrežnički Brest;Generalski Stol;Karlovačka županija;25
Mrežnički Brig;Duga Resa;Karlovačka županija;288
Mrežnički Novaki;Duga Resa;Karlovačka županija;168
Mrežnički Varoš;Duga Resa;Karlovačka županija;901
Mrežničko Dvorište;Duga Resa;Karlovačka županija;48
Mrgani;Kanfanar;Istarska županija;27
Mrkopalj;Mrkopalj;Primorsko-goranska županija;557
Mrkoplje;Brestovac;Požeško-slavonska županija;0
Mrljane;Pašman;Zadarska županija;253
Mrzla Vodica;Lokve;Primorsko-goranska županija;14
Mrzli Dol;Senj;Ličko-senjska županija;23
Mrzljaki;Netretić;Karlovačka županija;12
Mrzlo Polje;Veliko Trgovišće;Krapinsko-zagorska županija;202
Mrzlo Polje Žumberačko;Žumberak;Zagrebačka županija;23
Mrzović;Semeljci;Osječko-baranjska županija;504
Mrčevo;Dubrovnik;Dubrovačko-neretvanska županija;76
Mugeba – Monghebbo;Poreč – Parenzo;Istarska županija;219
Mundanije;Rab;Primorsko-goranska županija;402
Munije;Grubišno Polje;Bjelovarsko-bilogorska županija;26
Munjava;Josipdol;Karlovačka županija;49
Munjava Modruška;Josipdol;Karlovačka županija;58
Muntić;Ližnjan – Lisignano;Istarska županija;325
Muntrilj;Tinjan;Istarska županija;73
Muraj;Krk;Primorsko-goranska županija;69
Murine – Morno;Umag – Umago;Istarska županija;970
Muričevec;Lepoglava;Varaždinska županija;147
Mursko Središće;Mursko Središće;Međimurska županija;3321
Murter;Murter-Kornati;Šibensko-kninska županija;1920
Murvica;Bol;Splitsko-dalmatinska županija;22
Murvica;Poličnik;Zadarska županija;855
Murvica Gornja;Poličnik;Zadarska županija;216
Musić;Levanjska Varoš;Osječko-baranjska županija;54
Mustafina Klada;Velika Ludina;Sisačko-moslavačka županija;132
Musulini;Vrbovsko;Primorsko-goranska županija;112
Mutilić;Udbina;Ličko-senjska županija;36
Mutvoran;Marčana;Istarska županija;21
Mučići;Matulji;Primorsko-goranska županija;347
Mušalež;Poreč – Parenzo;Istarska županija;384
Mušaluk;Gospić;Ličko-senjska županija;174
Muškovci;Obrovac;Zadarska županija;98
Mužilovčica;Sisak;Sisačko-moslavačka županija;57
Mužini;Žminj;Istarska županija;88
Nadin;Benkovac;Zadarska županija;371
Nadvoda;Obrovac;Zadarska županija;135
Nadvrelo;Gračac;Zadarska županija;0
Nadvučnik;Vrbovsko;Primorsko-goranska županija;20
Naglići;Brod Moravice;Primorsko-goranska županija;1
Najevi;Marina;Splitsko-dalmatinska županija;51
Naklice;Omiš;Splitsko-dalmatinska županija;237
Nakovanj;Orebić;Dubrovačko-neretvanska županija;1
Nard;Valpovo;Osječko-baranjska županija;377
Nardući;Vižinada – Visinada;Istarska županija;14
Nart Savski;Rugvica;Zagrebačka županija;199
Narta;Štefanje;Bjelovarsko-bilogorska županija;573
Naselje Stjepana Radića;Vrbovec;Zagrebačka županija;239
Natkrižovljan;Cestica;Varaždinska županija;258
Naudovac;Suhopolje;Virovitičko-podravska županija;113
Našice;Našice;Osječko-baranjska županija;7307
Našičko Novo Selo;Đurđenovac;Osječko-baranjska županija;271
Nebljusi;Donji Lapac;Ličko-senjska županija;111
Nebojan;Petrinja;Sisačko-moslavačka županija;141
Nebojse;Desinić;Krapinsko-zagorska županija;67
Nedelišće;Nedelišće;Međimurska županija;3840
Nedeljanec;Vidovec;Varaždinska županija;1320
Nedešćina;Sveta Nedelja;Istarska županija;537
Negnar;Buzet;Istarska županija;19
Negoslavci;Negoslavci;Vukovarsko-srijemska županija;983
Negovec;Vrbovec;Zagrebačka županija;154
Nemetin;Osijek;Osječko-baranjska županija;77
Nemčevec;Gornja Rijeka;Koprivničko-križevačka županija;11
Nenadići;Krk;Primorsko-goranska županija;164
Neorić;Muć;Splitsko-dalmatinska županija;819
Nerezine;Mali Lošinj;Primorsko-goranska županija;397
Nerežišća;Nerežišća;Splitsko-dalmatinska županija;642
Nespeš;Sveti Ivan Zelina;Zagrebačka županija;298
Neteka;Gračac;Zadarska županija;75
Netretić;Netretić;Karlovačka županija;44
Nevest;Unešić;Šibensko-kninska županija;56
Nevinac;Nova Rača;Bjelovarsko-bilogorska županija;172
Neviđane;Pašman;Zadarska županija;353
Nečujam;Šolta;Splitsko-dalmatinska županija;286
Nijemci;Nijemci;Vukovarsko-srijemska županija;1330
Nikšići;Vrbovsko;Primorsko-goranska županija;23
Nin;Nin;Zadarska županija;1101
Ninski Stanovi;Nin;Zadarska županija;340
Nisko;Klis;Splitsko-dalmatinska županija;181
Niza;Koška;Osječko-baranjska županija;361
Nježić;Velika;Požeško-slavonska županija;1
Njivice;Omišalj;Primorsko-goranska županija;1115
Normanci;Koška;Osječko-baranjska županija;269
Noršić Selo;Samobor;Zagrebačka županija;89
Nos Kalik;Drniš;Šibensko-kninska županija;2
Noskovačka Dubrava;Čađavica;Virovitičko-podravska županija;40
Noskovci;Čađavica;Virovitičko-podravska županija;142
Nova Bukovica;Nova Bukovica;Virovitičko-podravska županija;638
Nova Diklenica;Kapela;Bjelovarsko-bilogorska županija;100
Nova Drenčina;Petrinja;Sisačko-moslavačka županija;315
Nova Gradiška;Nova Gradiška;Brodsko-posavska županija;9820
Nova Jošava;Orahovica;Virovitičko-podravska županija;152
Nova Kapela;Dubrava;Zagrebačka županija;207
Nova Kapela;Nova Kapela;Brodsko-posavska županija;777
Nova Krivaja;Đulovac;Bjelovarsko-bilogorska županija;69
Nova Kršlja;Rakovica;Karlovačka županija;69
Nova Lipa;Požega;Požeško-slavonska županija;61
Nova Lipovica;Čaglin;Požeško-slavonska županija;22
Nova Ljeskovica;Čaglin;Požeško-slavonska županija;425
Nova Mokošica;Dubrovnik;Dubrovačko-neretvanska županija;5682
Nova Pisanica;Velika Pisanica;Bjelovarsko-bilogorska županija;37
Nova Ploščica;Velika Trnovitica;Bjelovarsko-bilogorska županija;298
Nova Rača;Nova Rača;Bjelovarsko-bilogorska županija;382
Nova Sela;Kula Norinska;Dubrovačko-neretvanska županija;29
Nova Sela;Omiš;Splitsko-dalmatinska županija;152
Nova Sela;Trilj;Splitsko-dalmatinska županija;141
Nova Subocka;Novska;Sisačko-moslavačka županija;570
Nova Vas;Kršan;Istarska županija;58
Nova Vas;Poreč – Parenzo;Istarska županija;589
Nova Vas – Villanova;Brtonigla – Verteneglio;Istarska županija;366
Nova Ves Petrijanečka;Petrijanec;Varaždinska županija;826
Nova Šarovka;Sopje;Virovitičko-podravska županija;201
Novaki;Dubrava;Zagrebačka županija;156
Novaki;Maruševec;Varaždinska županija;467
Novaki;Sopje;Virovitičko-podravska županija;292
Novaki;Sveta Nedelja;Zagrebačka županija;2001
Novaki Bistranski;Bistra;Zagrebačka županija;812
Novaki Bizovački;Bizovac;Osječko-baranjska županija;180
Novaki Lipnički;Ribnik;Karlovačka županija;14
Novaki Motovunski;Karojba;Istarska županija;373
Novaki Nartski;Rugvica;Zagrebačka županija;51
Novaki Oborovski;Rugvica;Zagrebačka županija;279
Novaki Ozaljski;Ozalj;Karlovačka županija;54
Novaki Pazinski;Cerovlje;Istarska županija;181
Novaki Petrovinski;Jastrebarsko;Zagrebačka županija;272
Novaki Ravenski;Križevci;Koprivničko-križevačka županija;146
Novaki Šćitarjevski;Velika Gorica;Zagrebačka županija;152
Novakovec;Jalžabet;Varaždinska županija;399
Novakovec;Podturen;Međimurska županija;694
Novakovec Bisaški;Sveti Ivan Zelina;Zagrebačka županija;27
Novalja;Novalja;Ličko-senjska županija;2415
Novačka;Gola;Koprivničko-križevačka županija;343
Nove Hiže;Brod Moravice;Primorsko-goranska županija;0
Novi Antunovac;Špišić Bukovica;Virovitičko-podravska županija;77
Novi Bezdan;Petlovac;Osječko-baranjska županija;262
Novi Bešinci;Kaptol;Požeško-slavonska županija;50
Novi Bolman;Jagodnjak;Osječko-baranjska županija;83
Novi Bošnjani;Križevci;Koprivničko-križevačka županija;62
Novi Dol;Barilović;Karlovačka županija;0
Novi Dvori Klanječki;Klanjec;Krapinsko-zagorska županija;207
Novi Farkašić;Petrinja;Sisačko-moslavačka županija;67
Novi Glog;Sveti Ivan Žabno;Koprivničko-križevačka županija;129
Novi Golubovec;Novi Golubovec;Krapinsko-zagorska županija;192
Novi Grabovac;Novska;Sisačko-moslavačka županija;5
Novi Grad;Oprisavci;Brodsko-posavska županija;230
Novi Gradac;Gradina;Virovitičko-podravska županija;128
Novi Jankovci;Stari Jankovci;Vukovarsko-srijemska županija;693
Novi Lazi;Brod Moravice;Primorsko-goranska županija;6
Novi Majur;Pakrac;Požeško-slavonska županija;78
Novi Marof;Novi Marof;Varaždinska županija;1810
Novi Mihaljevci;Požega;Požeško-slavonska županija;203
Novi Mikanovci;Stari Mikanovci;Vukovarsko-srijemska županija;536
Novi Pavljani;Bjelovar;Bjelovarsko-bilogorska županija;136
Novi Perkovci;Đakovo;Osječko-baranjska županija;180
Novi Senkovac;Slatina;Virovitičko-podravska županija;223
Novi Skucani;Kapela;Bjelovarsko-bilogorska županija;143
Novi Varoš;Stara Gradiška;Brodsko-posavska županija;113
Novi Vinodolski;Novi Vinodolski;Primorsko-goranska županija;3336
Novi Zdenkovac;Čaglin;Požeško-slavonska županija;10
Novi Čeminac;Čeminac;Osječko-baranjska županija;252
Novi Đurđic;Križevci;Koprivničko-križevačka županija;131
Novi Štitnjak;Požega;Požeško-slavonska županija;92
Novigrad;Novigrad;Zadarska županija;481
Novigrad Podravski;Novigrad Podravski;Koprivničko-križevačka županija;1577
Novigrad na Dobri;Netretić;Karlovačka županija;62
Novigrad – Cittanova;Novigrad – Cittanova;Istarska županija;2292
Novo Brdo;Kravarsko;Zagrebačka županija;83
Novo Brdo Mrežničko;Duga Resa;Karlovačka županija;97
Novo Kusonje;Voćin;Virovitičko-podravska županija;15
Novo Mjesto;Sveti Ivan Zelina;Zagrebačka županija;143
Novo Nevesinje;Petlovac;Osječko-baranjska županija;41
Novo Petrovo Polje;Crnac;Virovitičko-podravska županija;121
Novo Pračno;Sisak;Sisačko-moslavačka županija;346
Novo Selište;Petrinja;Sisačko-moslavačka županija;279
Novo Selo;Požega;Požeško-slavonska županija;370
Novo Selo;Selca;Splitsko-dalmatinska županija;109
Novo Selo;Sisak;Sisačko-moslavačka županija;536
Novo Selo;Slunj;Karlovačka županija;52
Novo Selo;Vrbovec;Zagrebačka županija;80
Novo Selo;Čazma;Bjelovarsko-bilogorska županija;47
Novo Selo Bosiljevsko;Bosiljevo;Karlovačka županija;15
Novo Selo Garešničko;Berek;Bjelovarsko-bilogorska županija;26
Novo Selo Glinsko;Glina;Sisačko-moslavačka županija;89
Novo Selo Koreničko;Plitvička Jezera;Ličko-senjska županija;17
Novo Selo Lasinjsko;Lasinja;Karlovačka županija;62
Novo Selo Okićko;Klinča Sela;Zagrebačka županija;112
Novo Selo Palanječko;Sisak;Sisačko-moslavačka županija;447
Novo Selo Perjasičko;Barilović;Karlovačka županija;0
Novo Selo Podravsko;Mali Bukovec;Varaždinska županija;183
Novo Selo Rok;Čakovec;Međimurska županija;1320
Novo Selo na Dravi;Čakovec;Međimurska županija;557
Novo Selo Žumberačko;Samobor;Zagrebačka županija;18
Novo Topolje;Donji Andrijevci;Brodsko-posavska županija;117
Novo Virje;Novo Virje;Koprivničko-križevačka županija;1026
Novo Zvečevo;Brestovac;Požeško-slavonska županija;24
Novo Čiče;Velika Gorica;Zagrebačka županija;1142
Novoselci;Pleternica;Požeško-slavonska županija;157
Novoselci;Sunja;Sisačko-moslavačka županija;28
Novoselec;Križ;Zagrebačka županija;1210
Novoseljani;Bjelovar;Bjelovarsko-bilogorska županija;600
Novoselo Bilajsko;Gospić;Ličko-senjska županija;122
Novoselo Trnovačko;Gospić;Ličko-senjska županija;92
Novska;Novska;Sisačko-moslavačka županija;5922
Nugla;Buzet;Istarska županija;73
Nunić;Kistanje;Šibensko-kninska županija;89
Nurkovac;Brestovac;Požeško-slavonska županija;185
Nuštar;Nuštar;Vukovarsko-srijemska županija;3132
Obed;Orle;Zagrebačka županija;39
Obedišće;Križ;Zagrebačka županija;516
Obedišće Ježevsko;Rugvica;Zagrebačka županija;100
Oblakovac;Brestovac;Požeško-slavonska županija;2
Oborovo;Rugvica;Zagrebačka županija;574
Oborovo Bistransko;Bistra;Zagrebačka županija;882
Obradovci;Zdenci;Virovitičko-podravska županija;41
Obrankovec;Sveti Đurđ;Varaždinska županija;113
Obrezina;Velika Gorica;Zagrebačka županija;403
Obrež Kalnički;Kalnik;Koprivničko-križevačka županija;108
Obrež Vivodinski;Ozalj;Karlovačka županija;75
Obrež Zelinski;Sveti Ivan Zelina;Zagrebačka županija;61
Obrh;Ribnik;Karlovačka županija;3
Obrovac;Obrovac;Zadarska županija;793
Obrovac Sinjski;Sinj;Splitsko-dalmatinska županija;794
Obrovnica;Bjelovar;Bjelovarsko-bilogorska županija;155
Obrš;Mošćenička Draga;Primorsko-goranska županija;11
Odra;;Grad Zagreb;2630
Odra Sisačka;Sisak;Sisačko-moslavačka županija;687
Odranski Obrež;;Grad Zagreb;1503
Oglavci;Rogoznica;Šibensko-kninska županija;7
Ogulin;Ogulin;Karlovačka županija;7374
Ogulinec;Velika Gorica;Zagrebačka županija;313
Ohnići;Vižinada – Visinada;Istarska županija;30
Okešinec;Križ;Zagrebačka županija;337
Okić;Karlovac;Karlovačka županija;43
Oklaj;Promina;Šibensko-kninska županija;410
Oključna;Komiža;Splitsko-dalmatinska županija;0
Okoli;Velika Ludina;Sisačko-moslavačka županija;232
Okreti;Kanfanar;Istarska županija;47
Okrivje;Čabar;Primorsko-goranska županija;5
Okrug Donji;Okrug;Splitsko-dalmatinska županija;235
Okrug Gornji;Okrug;Splitsko-dalmatinska županija;2760
Okrugli Vrh;Sveti Juraj na Bregu;Međimurska županija;358
Okrugljača;Špišić Bukovica;Virovitičko-podravska županija;200
Okuje;Velika Gorica;Zagrebačka županija;430
Okuklje;Mljet;Dubrovačko-neretvanska županija;38
Okunšćak;Rugvica;Zagrebačka županija;490
Okučani;Okučani;Brodsko-posavska županija;1143
Olib;Zadar;Zadarska županija;117
Oljasi;Velika;Požeško-slavonska županija;47
Omamno;Bedenica;Zagrebačka županija;145
Omanovac;Pakrac;Požeško-slavonska županija;86
Omiš;Omiš;Splitsko-dalmatinska županija;5985
Omišalj;Omišalj;Primorsko-goranska županija;1877
Omsica;Gračac;Zadarska županija;4
Ondić;Udbina;Ličko-senjska županija;25
Opanci;Lovreć;Splitsko-dalmatinska županija;258
Opasanjek;Zlatar Bistrica;Krapinsko-zagorska županija;82
Opatija;Opatija;Primorsko-goranska županija;5701
Opatija;Pokupsko;Zagrebačka županija;139
Opatinec;Ivanić-Grad;Zagrebačka županija;283
Opatovac;Cernik;Brodsko-posavska županija;282
Opatovac;Lovas;Vukovarsko-srijemska županija;252
Oplaznik;Marija Gorica;Zagrebačka županija;75
Oporovec;Prelog;Međimurska županija;334
Oprisavci;Oprisavci;Brodsko-posavska županija;715
Oprić;Opatija;Primorsko-goranska županija;719
Oprtalj – Portole;Oprtalj – Portole;Istarska županija;75
Opršinac;Cernik;Brodsko-posavska županija;0
Opuzen;Opuzen;Dubrovačko-neretvanska županija;2355
Općevac;Čazma;Bjelovarsko-bilogorska županija;93
Orah;Vrgorac;Splitsko-dalmatinska županija;212
Orahovica;Orahovica;Virovitičko-podravska županija;3384
Oraovac;Donji Lapac;Ličko-senjska županija;124
Oratje;Krapinske Toplice;Krapinsko-zagorska županija;122
Oravac;Plitvička Jezera;Ličko-senjska županija;22
Orašac;Dubrovnik;Dubrovačko-neretvanska županija;742
Orbani;Sveti Lovreč;Istarska županija;20
Orbanići;Marčana;Istarska županija;141
Orbanići;Žminj;Istarska županija;57
Ordanja;Koška;Osječko-baranjska županija;121
Orebić;Orebić;Dubrovačko-neretvanska županija;1794
Orehova Gorica;Gornja Stubica;Krapinsko-zagorska županija;50
Orehovec;Novi Marof;Varaždinska županija;250
Orehovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;83
Orehovec Radobojski;Radoboj;Krapinsko-zagorska županija;258
Orehovica;Bedekovčina;Krapinsko-zagorska županija;226
Orehovica;Orehovica;Međimurska županija;1803
Orešac;Suhopolje;Virovitičko-podravska županija;342
Orešje;Sveta Nedelja;Zagrebačka županija;1097
Orešje Humsko;Hum na Sutli;Krapinsko-zagorska županija;172
Orešje Okićko;Jastrebarsko;Zagrebačka županija;36
Orihi;Barban;Istarska županija;101
Orijevac;Barilović;Karlovačka županija;3
Oriovac;Oriovac;Brodsko-posavska županija;1490
Oriovčić;Podcrkavlje;Brodsko-posavska županija;99
Orič;Pićan;Istarska županija;152
Orišje;Bosiljevo;Karlovačka županija;39
Orle;Orle;Zagrebačka županija;71
Orlec;Cres;Primorsko-goranska županija;88
Orlić;Biskupija;Šibensko-kninska županija;187
Orljakovo;Kamanje;Karlovačka županija;165
Orljavac;Brestovac;Požeško-slavonska županija;113
Orlovac;Nova Rača;Bjelovarsko-bilogorska županija;110
Orlovac Zdenački;Grubišno Polje;Bjelovarsko-bilogorska županija;248
Ornice;Gospić;Ličko-senjska županija;4
Orolik;Stari Jankovci;Vukovarsko-srijemska županija;355
Oroslavje;Oroslavje;Krapinsko-zagorska županija;3253
